QUESTIONS,ANSWER
Bạn có nhận ship COD không?|Có, shop hỗ trợ ship COD toàn quốc.
Thời gian giao hàng là bao lâu?|Thời gian giao hàng thường mất từ 2-5 ngày làm việc, tùy thuộc vào địa điểm của bạn.
Phí vận chuyển là bao nhiêu?|Miễn phí vận chuyển cho đơn hàng trên 500.000đ. Với đơn hàng dưới 500.000đ, phí vận chuyển là 30.000đ.
phương thức thanh toán nào được chấp nhận?|Chuyển khoản ngân hàng hoặc thanh toán khi nhận hàng (COD).
Tôi có thể xem thêm ảnh sản phẩm được không?|Có, bạn có thể xem thêm ảnh sản phẩm trên website của cửa hàng hoặc yêu cầu thêm ảnh qua chat.
Cửa hàng có nhận đặt hàng theo yêu cầu không?|Có, đơn đặt hàng tùy chỉnh được chấp nhận với số lượng từ 10 mặt hàng trở lên.
Sản phẩm có như mô tả không?|Shop đảm bảo sản phẩm đúng như mô tả trên website. Nếu có sai lệch quý khách có thể đổi trả sản phẩm theo chính sách của shop.
Chất lượng sản phẩm có tốt không?|Shop cam kết cung cấp những sản phẩm chất lượng cao được làm từ chất liệu cao cấp với tay nghề thủ công cao.
Cửa hàng có uy tín không?|Shop đã hoạt động trong lĩnh vực thời trang online được 5 năm và nhận được những đánh giá tích cực từ khách hàng.Tôi có thể tin tưởng mua hàng của shop không?|Có, shop đặt niềm tin của khách hàng lên hàng đầu và cam kết cung cấp sản phẩm chất lượng và dịch vụ hoàn hảo.
Làm thế nào tôi có thể liên hệ với cửa hàng?|Bạn có thể liên hệ với cửa hàng thông qua trang web, email, trò chuyện hoặc số điện thoại.
Tôi có thể xem đánh giá của khách hàng khác về sản phẩm không?|Có, bạn có thể xem đánh giá của khách hàng trên website của cửa hàng.
Shop có tư vấn size không?|Vâng, shop có đội ngũ tư vấn giàu kinh nghiệm và thân thiện, có thể giúp bạn chọn size phù hợp.
Tôi có thể đặt nhiều sản phẩm cùng lúc được không?|Có, bạn có thể thêm nhiều mặt hàng vào giỏ hàng và tiến hành thanh toán.
Tôi có thể kết hợp nhiều mã giảm giá khác nhau được không?|Không, bạn chỉ có thể sử dụng một mã giảm giá cho mỗi đơn hàng.
Điều gì xảy ra nếu tôi nhận được một sản phẩm bị hư hỏng?|Nếu bạn nhận được sản phẩm bị hư hỏng, vui lòng liên hệ ngay với cửa hàng và họ sẽ sắp xếp thay thế hoặc hoàn tiền.
Tôi có thể hủy đơn hàng trước khi nó được vận chuyển không?|Có, bạn có thể hủy đơn hàng trước khi hàng được vận chuyển bằng cách liên hệ với cửa hàng.
Tôi có thể theo dõi đơn hàng của mình không?|Có, bạn có thể theo dõi tình trạng đơn hàng của mình thông qua website của cửa hàng hoặc liên hệ với cửa hàng.
Địa chỉ của cửa hàng là gì?|Bạn có thể tìm địa chỉ cửa hàng trên website hoặc liên hệ với cửa hàng.
Giờ hoạt động của cửa hàng là mấy giờ?|Giờ hoạt động của cửa hàng thường từ 9:00 sáng đến 6:00 chiều, từ Thứ Hai đến Thứ Bảy.
Cửa hàng có cung cấp dịch vụ gói quà không?|Có, cửa hàng cung cấp dịch vụ gói quà có tính phí.
Tôi có thể thanh toán bằng tiền mặt không?|Không, shop chỉ chấp nhận thanh toán trực tuyến thông qua chuyển khoản ngân hàng hoặc thanh toán tiền mặt khi giao hàng (COD).
Chính sách đổi trả/bảo hành sản phẩm của shop như thế nào?|Shop có chính sách đổi trả/bảo hành sản phẩm rõ ràng, minh bạch. Quý khách có thể tham khảo chi tiết chính sách đổi trả/bảo hành trên website của shop hoặc liên hệ trực tiếp với shop để được tư vấn cụ thể.
Shop có hỗ trợ miễn phí vận chuyển không?|Có, một số shop hỗ trợ miễn phí vận chuyển cho các đơn hàng đạt giá trị từ xx triệu đồng trở lên hoặc đối với khách hàng ở khu vực lân cận. Quý khách vui lòng tham khảo thông tin chi tiết trên website hoặc liên hệ trực tiếp với shop.
Tôi có thể thử sản phẩm trước khi mua không|Một số shop có hỗ trợ cho khách hàng thử sản phẩm tại cửa hàng. Quý khách vui lòng liên hệ với shop để biết thêm thông tin chi tiết.
Shop có chương trình khách hàng thân thiết không?|Có, một số shop có chương trình khách hàng thân thiết với nhiều ưu đãi hấp dẫn dành cho khách hàng thường xuyên mua sắm tại shop. Quý khách vui lòng tham khảo thông tin chi tiết trên website hoặc liên hệ trực tiếp với shop.
Sản phẩm của shop có được đảm bảo chất lượng bởi các tổ chức uy tín không?|Một số sản phẩm của shop được đảm bảo chất lượng bởi các tổ chức uy tín như Bureau Veritas, Intertek, SGS,... Quý khách có thể tham khảo thông tin chi tiết trên website hoặc bao bì sản phẩm.
Shop có hỗ trợ giao hàng quốc tế không?|Có, một số shop hỗ trợ giao hàng quốc tế. Quý khách vui lòng liên hệ trực tiếp với shop để được tư vấn cụ thể về phí vận chuyển và thời gian giao hàng.
Tôi có thể theo dõi đơn hàng của mình qua ứng dụng nào?|Bạn có thể theo dõi đơn hàng bằng cách vào mục 'My Order' trên trang web của chúng tôi.
Tôi có thể hủy đơn hàng sau khi đã thanh toán không?|Tùy vào trường hợp cụ thể mà shop có thể hỗ trợ hủy đơn hàng sau khi đã thanh toán. Quý khách vui lòng liên hệ trực tiếp với shop để được tư vấn cụ thể.
Tôi có thể thay đổi địa chỉ nhận hàng sau khi đã đặt mua không?|Quý khách có thể thay đổi địa chỉ nhận hàng trước khi shop xác nhận đơn hàng và giao hàng cho nhà vận chuyển.
Shop có hỗ trợ tư vấn qua tin nhắn ngoài giờ làm việc không?|Một số shop có hỗ trợ tư vấn qua tin nhắn ngoài giờ làm việc. Quý khách vui lòng tham khảo thông tin chi tiết trên website hoặc liên hệ trực tiếp với shop.
Tôi muốn khiếu nại về sản phẩm/dịch vụ của shop, tôi phải làm thế nào?|Quý khách có thể khiếu nại về sản phẩm/dịch vụ của shop qua website, tin nhắn Facebook, Zalo, hotline hoặc email. Shop sẽ tiếp nhận và xử lý khiếu nại của quý khách trong thời gian ngắn nhất.
Tôi muốn góp ý/đề xuất cho shop về sản phẩm/dịch vụ, tôi phải làm thế nào?|Shop luôn mong muốn nhận được góp ý/đề xuất của khách hàng để hoàn thiện dịch vụ ngày càng tốt hơn. Quý khách có thể gửi góp ý/đề xuất qua website, tin nhắn Facebook, Zalo, email hoặc trực tiếp tại cửa hàng.
Shop có tổ chức các chương trình livestream bán hàng không?|Có, một số shop thường xuyên tổ chức các chương trình livestream bán hàng với nhiều ưu đãi hấp dẫn dành cho khách hàng. Quý khách có thể theo dõi thông tin chi
Hello shop|Chào anh/chị, anh/chị cần tìm sản phẩm gì ạ?
Chào shop|Chào anh/chị, anh/chị cần tìm sản phẩm gì ạ?
How are you?|I'm fine, thank you.
What is your name?|My name is Chatbot.
Chào (Hello)! Bạn có thể cho tôi biết thêm về trang web này không?|Chào mừng bạn! Trang web này là cửa hàng thời trang , cung cấp các sản phẩm mới nhất và hot nhất cho cả nam và nữ. Chúng tôi có nhiều loại mặt hàng từ các thương hiệu hàng đầu với giá cả phải chăng và dịch vụ khách hàng tuyệt vời.
Các sản phẩm mới nhất của bạn là gì?|Chúng tôi vừa cập nhật bộ sưu tập mới nhất với nhiều mẫu mã đa dạng, bạn có thể xem tại mục 'Sản phẩm mới'.
Chào bạn, tôi đang tìm một chiếc áo [kiểu dáng]|Chào mừng bạn! Để giúp bạn tìm được chiếc áo phù hợp nhất, bạn có thể cho tôi biết thêm về [kiểu dáng] bạn đang tìm kiếm không?
Chào bạn, tôi đang tìm một đồng hồ [kiểu dáng]!|Chào mừng bạn! Để giúp bạn tìm được đồng hồ phù hợp nhất, bạn có thể cho tôi biết thêm về [kiểu dáng] bạn đang tìm kiếm không?
Chào bạn, tôi đang tìm một đôi giày [kiểu dáng]!|Chào mừng bạn! Để giúp bạn tìm được đôi giày phù hợp nhất, bạn có thể cho tôi biết thêm về [kiểu dáng] bạn đang tìm kiếm không?
Sản phẩm này có màu nào khác không?|Chắc chắn rồi! Bạn có thể xem tất cả các màu sắc có sẵn của sản phẩm trên trang web của chúng tôi. Chỉ cần cuộn xuống bên dưới hình ảnh chính, bạn sẽ thấy danh sách các màu sắc khác.
Làm thế nào để tôi theo dõi đơn hàng của mình?|Bạn có thể theo dõi đơn hàng bằng cách vào mục 'My Order' trên trang web của chúng tôi.
Các sản phẩm của bạn có bền không?|Chúng tôi cam kết cung cấp sản phẩm chất lượng cao với độ bền vững, được làm từ những chất liệu tốt nhất.
Tôi có thể nhận được tư vấn thời trang cá nhân không?|Chắc chắn rồi, chúng tôi có dịch vụ tư vấn thời trang cá nhân. Bạn chỉ cần để lại thông tin liên lạc và chúng tôi sẽ sắp xếp lịch hẹn.
Có khuyến mãi nào đang diễn ra không?|Hiện tại chúng tôi đang có chương trình khuyến mãi đặc biệt cho mùa này, bạn có thể xem chi tiết tại mục 'Khuyến mãi'.
Tôi có thể nhận được lời khuyên về cách phối đồ không?|Chắc chắn rồi! Hãy cho chúng tôi biết phong cách của bạn và chúng tôi sẽ đề xuất những set đồ tuyệt vời phù hợp với bạn.
Size đồ nào hợp với cân nặng của tôi?|Để chọn kích cỡ phù hợp, bạn cần cung cấp thông tin cân nặng cụ thể của mình. Chúng tôi cũng khuyến khích bạn đo các số đo cơ thể khác như vòng ngực, eo, và hông để có kết quả chính xác nhất. Bạn có thể tham khảo bảng hướng dẫn kích cỡ của chúng tôi hoặc liên hệ trực tiếp để được tư vấn kỹ hơn.Size giày nào hợp với chân của tôi?|Để chọn size giày phù hợp, bạn cần đo chiều dài và chiều rộng của bàn chân mình. Thêm khoảng 1,5cm vào chiều dài chân để đảm bảo sự thoải mái khi di chuyển. Cuối cùng, hãy so sánh kết quả với bảng quy đổi size giày để tìm ra kích cỡ phù hợp nhất cho bạn.
Bạn có muốn nhận lời khuyên cá nhân hóa về thời trang không?|Chúng tôi sẽ rất vui lòng tư vấn cho bạn! Bạn có thể cho chúng tôi biết một chút về sở thích của bạn không?
Bạn có quan tâm đến xu hướng thời trang mới nhất không?|Chúng tôi luôn cập nhật những xu hướng mới nhất. Bạn có thể chia sẻ với chúng tôi loại trang phục bạn đang tìm kiếm?
Tôi có thể thử sản phẩm trước khi mua không|Một số shop có hỗ trợ cho khách hàng thử sản phẩm tại cửa hàng. Quý khách vui lòng liên hệ với shop để biết thêm thông tin chi tiết.
Tôi đang tìm một chiếc váy để đi dự tiệc.|Vâng, cửa hàng có rất nhiều mẫu váy phù hợp cho đi dự tiệc. Anh/chị có thể tham khảo một số mẫu này ạ. 
Em thích chiếc váy màu đỏ này. Nó có size nào khác không?|Chiếc váy này có size S, M và L. Anh/chị có thể cho em biết số đo của mình để em tư vấn size phù hợp nhất ạ?
Số đo vòng 1 của em là 85cm, vòng 2 là 65cm và vòng 3 là 90cm.|Vậy em khuyên anh/chị nên chọn size M. Size M sẽ vừa vặn với số đo của anh/chị và giúp tôn lên vóc dáng của anh/chị.
Tôi thích bộ vest màu xanh navy này. Nó có size nào khác không?|Bộ vest này có size S, M, L và XL. Anh có thể cho em biết số đo của mình để em tư vấn size phù hợp nhất ạ?
Số đo vòng ngực của tôi là 95cm, vòng eo là 80cm và vòng hông là 98cm.|Vậy em khuyên anh nên chọn size L. Size L sẽ vừa vặn với số đo của anh và giúp anh di chuyển thoải mái hơn
Tôi đang tìm một chiếc áo thun để đi chơi với bạn bè.|Vâng, cửa hàng em có rất nhiều mẫu áo thun phù hợp cho đi chơi với bạn bè. Bạn có thể tham khảo một số mẫu này ạ.
Em thích chiếc áo thun màu trắng này. Nó có size nào khác không?|Chiếc áo thun này có size S, M và L. Bạn có thể cho em biết số đo của mình để em tư vấn size phù hợp nhất ạ?
Số đo vòng 1 của em là 80cm, vòng eo là 68cm và vòng hông là 92cm.|Vậy khuyên bạn nên chọn size M. Size M sẽ vừa vặn với số đo của bạn và giúp tôn lên vóc dáng của bạn.
